cycle,chamber,race_id,district_id,state,district,election_date,election_type,dem_candidate,gop_candidate,other_candidates,dem_vote_total,gop_vote_total,other_vote_total,total_vote,dem_vote_share,gop_vote_share,actual_dem_margin,actual_winner,has_dem_candidate,has_gop_candidate,major_party_contested,named_candidate_count,named_dem_count,named_gop_count,named_other_count,general_election_party_structure,uncontested,uncontested_dem,uncontested_gop,include_in_major_party_margin_scoring,special_handling_notes,source_name,source_url,retrieved_date,dem_candidate_join_name,dem_candidate_uid,dem_fec_candidate_id,dem_principal_campaign_committee_id,dem_fec_status,dem_is_incumbent,dem_is_challenger,dem_is_open_seat_candidate,dem_fec_candidate_status,dem_match_method,dem_match_score,gop_candidate_join_name,gop_candidate_uid,gop_fec_candidate_id,gop_principal_campaign_committee_id,gop_fec_status,gop_is_incumbent,gop_is_challenger,gop_is_open_seat_candidate,gop_fec_candidate_status,gop_match_method,gop_match_score,incumbency_status,open_seat,incumbent_party,incumbency_data_complete,district_pres_margin_dem,boundary_compatibility,presidential_baseline_available,presidential_result_year,boundary_cycle,national_environment_margin_dem,environment_multiplier,state_environment_adjustment_dem,incumbency_adjustment_dem,candidate_quality_adjustment_dem,special_adjustment_dem,polling_adjustment_dem,historical_input_status,district_elasticity_raw,district_elasticity_shrunk,elasticity_shrink_target,elasticity_shrinkage_strength,elasticity_observation_count,elasticity_residual_rmse,elasticity_low_information_estimate,elasticity_match_status,elasticity_source,district_elasticity,elasticity_fallback_used,elasticity_boundary_compatibility
2022,House,AK-AL,AK-AL,AK,AL,2022-11-08,General,MARY SATTLER PELTOLA,SARAH PALIN,CHRIS BYE,128553,67866,5678,263610,48.76635939456015,25.744850347103675,23.02150904745647,D,True,True,True,4,1,2,1,D_vs_R,False,False,False,True,,"MIT Election Data and Science Lab, U.S. House 1976-2024",doi:10.7910/DVN/IG0UN2,2026-07-15,MARY SATTLER PELTOLA,HOUSE_2022_AK_AL_D_MARY_SATTLER_PELTOLA,H2AK01158,C00812388,I,True,False,False,C,high_confidence_automatic,95.0,SARAH PALIN,HOUSE_2022_AK_AL_R_SARAH_PALIN,H2AK00226,C00811323,O,False,False,True,C,high_confidence_automatic,100.0,confirmed_incumbent_running,False,D,True,-10.1,authoritative_2022_boundary,True,2020,2022,,,,,,,,presidential_baseline_ready,-0.6664562037043746,0.1537963620486596,0.974048927801694,0.5,4.0,14.18915363220328,False,district_label_match_across_redistricting,2012-2020 consecutive House swings; constrained OLS; district-number match applied across 2022 redistricting,0.1537963620486596,False,approximate label match; geography not guaranteed continuous
2022,House,AL-1,AL-1,AL,1,2022-11-08,General,,JERRY L CARL,ALEXANDER M REMREY,0,140592,27558,168150,0.0,83.61106155218555,-83.61106155218555,R,False,True,False,2,0,1,1,R_vs_Other,False,False,False,False,Nonstandard general-election party structure: R_vs_Other,"MIT Election Data and Science Lab, U.S. House 1976-2024",doi:10.7910/DVN/IG0UN2,2026-07-15,,,,,,False,,,,,,JERRY L CARL,HOUSE_2022_AL_1_R_JERRY_L_CARL,H0AL01055,C00697789,I,True,False,False,C,high_confidence_automatic,92.5,confirmed_incumbent_running,False,R,True,-28.3,authoritative_2022_boundary,True,2020,2022,,,,,,,,presidential_baseline_ready,0.4736705669067055,0.7238597473541998,0.974048927801694,0.5,1.0,0.0,True,district_label_match_across_redistricting,2012-2020 consecutive House swings; constrained OLS; district-number match applied across 2022 redistricting,0.7238597473541998,False,approximate label match; geography not guaranteed continuous
2022,House,AL-2,AL-2,AL,2,2022-11-08,General,PHYLLIS HARVEY-HALL,BARRY MOORE,JONATHAN REALZ,58014,137460,3487,198961,29.15847829474118,69.08891692341716,-39.93043862867597,R,True,True,True,3,1,1,1,D_vs_R,False,False,False,True,,"MIT Election Data and Science Lab, U.S. House 1976-2024",doi:10.7910/DVN/IG0UN2,2026-07-15,PHYLLIS HARVEY-HALL,HOUSE_2022_AL_2_D_PHYLLIS_HARVEY_HALL,H0AL02202,C00728873,C,False,True,False,C,high_confidence_automatic,100.0,BARRY MOORE,HOUSE_2022_AL_2_R_BARRY_MOORE,H8AL02171,C00720375,I,True,False,False,C,high_confidence_automatic,92.0,confirmed_incumbent_running,False,R,True,-29.4,authoritative_2022_boundary,True,2020,2022,,,,,,,,presidential_baseline_ready,0.3076663105084346,0.6408576191550643,0.974048927801694,0.5,4.0,15.33775761157029,False,district_label_match_across_redistricting,2012-2020 consecutive House swings; constrained OLS; district-number match applied across 2022 redistricting,0.6408576191550643,False,approximate label match; geography not guaranteed continuous
2022,House,AL-3,AL-3,AL,3,2022-11-08,General,LIN VEASEY,MIKE ROGERS,DOUGLAS A BELL | THOMAS SICKOFDC CASSON,47859,135602,6945,190406,25.13523733495793,71.21729357268153,-46.0820562377236,R,True,True,True,4,1,1,2,D_vs_R,False,False,False,True,,"MIT Election Data and Science Lab, U.S. House 1976-2024",doi:10.7910/DVN/IG0UN2,2026-07-15,LIN VEASEY,HOUSE_2022_AL_3_D_LIN_VEASEY,H2AL03131,C00817130,C,False,True,False,C,manual_override,100.0,MIKE ROGERS,HOUSE_2022_AL_3_R_MIKE_ROGERS,H2AL03032,C00367862,I,True,False,False,C,high_confidence_automatic,90.0,confirmed_incumbent_running,False,R,True,-34.1,authoritative_2022_boundary,True,2020,2022,,,,,,,,presidential_baseline_ready,0.7134727409842215,0.8437608343929578,0.974048927801694,0.5,4.0,2.785719445316784,False,district_label_match_across_redistricting,2012-2020 consecutive House swings; constrained OLS; district-number match applied across 2022 redistricting,0.8437608343929578,False,approximate label match; geography not guaranteed continuous
2022,House,AL-4,AL-4,AL,4,2022-11-08,General,RICK NEIGHBORS,ROBERT B ADERHOLT,JOHNNY C COCHRAN,26694,164655,4384,195733,13.6379660047105,84.12224816459157,-70.48428215988106,R,True,True,True,3,1,1,1,D_vs_R,False,False,False,True,,"MIT Election Data and Science Lab, U.S. House 1976-2024",doi:10.7910/DVN/IG0UN2,2026-07-15,RICK NEIGHBORS,HOUSE_2022_AL_4_D_RICK_NEIGHBORS,H8AL04086,C00802025,C,False,True,False,C,probable_automatic,72.0,ROBERT B ADERHOLT,HOUSE_2022_AL_4_R_ROBERT_B_ADERHOLT,H6AL04098,C00313247,I,True,False,False,C,high_confidence_automatic,96.25,confirmed_incumbent_running,False,R,True,-61.8,authoritative_2022_boundary,True,2020,2022,,,,,,,,presidential_baseline_ready,0.9443636694254128,0.9592062986135534,0.974048927801694,0.5,1.0,0.0,True,district_label_match_across_redistricting,2012-2020 consecutive House swings; constrained OLS; district-number match applied across 2022 redistricting,0.9592062986135534,False,approximate label match; geography not guaranteed continuous
2022,House,AL-5,AL-5,AL,5,2022-11-08,General,KATHY WARNER-STANTON,DALE STRONG,P J GREER,62740,142435,7142,212317,29.550153779490103,67.08600818587301,-37.53585440638291,R,True,True,True,3,1,1,1,D_vs_R,False,False,False,True,,"MIT Election Data and Science Lab, U.S. House 1976-2024",doi:10.7910/DVN/IG0UN2,2026-07-15,KATHY WARNER-STANTON,HOUSE_2022_AL_5_D_KATHY_WARNER_STANTON,H2AL05177,C00791558,O,False,False,True,C,high_confidence_automatic,96.25,DALE STRONG,HOUSE_2022_AL_5_R_DALE_STRONG,H2AL05102,C00774281,C,False,True,False,C,high_confidence_automatic,95.0,confirmed_open,True,,True,-27.1,authoritative_2022_boundary,True,2020,2022,,,,,,,,presidential_baseline_ready,1.26328446963524,1.118666698718467,0.974048927801694,0.5,1.0,1.7763568394002505e-15,True,district_label_match_across_redistricting,2012-2020 consecutive House swings; constrained OLS; district-number match applied across 2022 redistricting,1.118666698718467,False,approximate label match; geography not guaranteed continuous
2022,House,AL-6,AL-6,AL,6,2022-11-08,General,,GARY J PALMER,ANDRIA CHIEFFO,0,154233,29970,184203,0.0,83.72990667904432,-83.72990667904432,R,False,True,False,2,0,1,1,R_vs_Other,False,False,False,False,Nonstandard general-election party structure: R_vs_Other,"MIT Election Data and Science Lab, U.S. House 1976-2024",doi:10.7910/DVN/IG0UN2,2026-07-15,,,,,,False,,,,,,GARY J PALMER,HOUSE_2022_AL_6_R_GARY_J_PALMER,H4AL06098,C00551374,I,True,False,False,C,high_confidence_automatic,95.0,confirmed_incumbent_running,False,R,True,-29.9,authoritative_2022_boundary,True,2020,2022,,,,,,,,presidential_baseline_ready,1.2339299739508596,1.1039894508762769,0.974048927801694,0.5,3.0,0.681926302768064,False,district_label_match_across_redistricting,2012-2020 consecutive House swings; constrained OLS; district-number match applied across 2022 redistricting,1.1039894508762769,False,approximate label match; geography not guaranteed continuous
2022,House,AL-7,AL-7,AL,7,2022-11-08,General,TERRI A SEWELL,BEATRICE NICHOLS,GAVIN GOODMAN,123233,67416,3291,193940,63.5418170568217,34.76126637104259,28.780550685779108,D,True,True,True,3,1,1,1,D_vs_R,False,False,False,True,,"MIT Election Data and Science Lab, U.S. House 1976-2024",doi:10.7910/DVN/IG0UN2,2026-07-15,TERRI A SEWELL,HOUSE_2022_AL_7_D_TERRI_A_SEWELL,H0AL07086,C00458976,I,True,False,False,C,high_confidence_automatic,100.0,BEATRICE NICHOLS,HOUSE_2022_AL_7_R_BEATRICE_NICHOLS,H2AL07173,C00762344,C,False,True,False,C,high_confidence_automatic,95.0,confirmed_incumbent_running,False,D,True,32.0,authoritative_2022_boundary,True,2020,2022,,,,,,,,presidential_baseline_ready,,,,,,,,fallback_no_historical_district_label,fallback elasticity,0.974048927801694,True,no historical district-label estimate
2022,House,AR-1,AR-1,AR,1,2022-11-08,General,MONTE HODGES,ERIC A âRICKâ CRAWFORD,,54598,153774,0,208372,26.20217687597182,73.79782312402818,-47.59564624805636,R,True,True,True,2,1,1,0,D_vs_R,False,False,False,True,,"MIT Election Data and Science Lab, U.S. House 1976-2024",doi:10.7910/DVN/IG0UN2,2026-07-15,MONTE HODGES,HOUSE_2022_AR_1_D_MONTE_HODGES,H2AR01113,C00798892,C,False,True,False,C,high_confidence_automatic,100.0,ERIC A âRICKâ CRAWFORD,HOUSE_2022_AR_1_R_ERIC_A_ARICKA_CRAWFORD,H0AR01083,C00462374,I,True,False,False,C,high_confidence_automatic,90.0,confirmed_incumbent_running,False,R,True,-40.9,authoritative_2022_boundary,True,2020,2022,,,,,,,,presidential_baseline_ready,1.952449253445829,1.4632490906237616,0.974048927801694,0.5,1.0,1.7763568394002505e-15,True,district_label_match_across_redistricting,2012-2020 consecutive House swings; constrained OLS; district-number match applied across 2022 redistricting,1.4632490906237616,False,approximate label match; geography not guaranteed continuous
2022,House,AR-2,AR-2,AR,2,2022-11-08,General,QUINTESSA HATHAWAY,J FRENCH HILL,MICHAEL WHITE,86887,147975,11584,246446,35.25599928584761,60.04357952654943,-24.787580240701818,R,True,True,True,3,1,1,1,D_vs_R,False,False,False,True,,"MIT Election Data and Science Lab, U.S. House 1976-2024",doi:10.7910/DVN/IG0UN2,2026-07-15,QUINTESSA HATHAWAY,HOUSE_2022_AR_2_D_QUINTESSA_HATHAWAY,H2AR02095,C00788232,C,False,True,False,N,high_confidence_automatic,100.0,J FRENCH HILL,HOUSE_2022_AR_2_R_J_FRENCH_HILL,H4AR02141,C00551275,I,True,False,False,C,probable_automatic,74.5,confirmed_incumbent_running,False,R,True,-13.1,authoritative_2022_boundary,True,2020,2022,,,,,,,,presidential_baseline_ready,0.3721094919028914,0.6730792098522927,0.974048927801694,0.5,4.0,11.344370850750783,False,district_label_match_across_redistricting,2012-2020 consecutive House swings; constrained OLS; district-number match applied across 2022 redistricting,0.6730792098522927,False,approximate label match; geography not guaranteed continuous
