national_variance_share,district_variance_share,implied_pairwise_correlation,national_error_sd,district_error_sd,cycles,mean_chamber_brier_score,mean_chamber_log_loss,control_call_accuracy,mean_probability_assigned_to_actual_control,mean_absolute_expected_seat_error,rmse_expected_seats,mean_expected_seat_error_dem_bias,mean_simulation_dem_seat_sd,coverage_50,coverage_80,coverage_90,brier_rank,log_loss_rank,seat_rmse_rank,combined_rank_score,recommended
0.0,1.0,0.0,0.0,7.994627101997941,4,0.32122262220000003,1.2167752683616424,0.5,0.613,14.454442499999999,18.809278735854676,14.454442499999999,4.681178436830582,0.25,0.5,0.5,10,10,1,21,False
0.1,0.9,0.1,2.528123068602476,7.584369205807428,4,0.21155502445000002,0.5570722964562751,0.5,0.659355,14.436219999999999,18.813699267208193,14.436219999999999,13.157877447059814,0.5,0.75,0.75,9,6,2,17,False
0.2,0.8,0.2,3.575305930965908,7.150611861931816,4,0.19034433434999998,0.5260170375098454,0.5,0.64761,14.43542,18.820750203662175,14.43542,18.016841529500407,0.5,0.75,1.0,6,1,3,10,False
0.3,0.7,0.3,4.378837602606427,6.688784923287637,4,0.18448872254999998,0.5265170776684875,0.5,0.6326499999999999,14.431390000000007,18.824564488537316,14.431390000000007,21.811422939695653,0.75,0.75,1.0,3,2,5,10,False
0.4,0.6,0.4,5.056246137204952,6.192611525035298,4,0.1832606129,0.5326028879200768,0.5,0.62008,14.426892499999994,18.82303734663789,14.426892499999994,25.048782008539575,0.75,1.0,1.0,1,3,4,8,True
0.5,0.5,0.5,5.6530550368805015,5.6530550368805015,4,0.184366408175,0.5408237063521577,0.5,0.6092225,14.428042499999997,18.828518461670708,14.428042499999997,27.915248667255195,0.75,1.0,1.0,2,4,6,12,False
0.6,0.4,0.6,6.192611525035298,5.056246137204952,4,0.18659899894999998,0.5498173429751421,0.5,0.599515,14.426694999999995,18.831134042339297,14.426694999999995,30.529184877795036,0.75,1.0,1.0,4,5,7,16,False
0.7,0.30000000000000004,0.7,6.688784923287637,4.378837602606428,4,0.18913333652500003,0.5580569947241775,0.5,0.5915174999999999,14.427037499999997,18.834630739236037,14.427037499999997,32.94120927407204,0.75,1.0,1.0,5,7,8,20,False
0.8,0.19999999999999996,0.8,7.150611861931816,3.5753059309659077,4,0.192094598225,0.566344854453722,0.5,0.5844075,14.426499999999997,18.83767651623602,14.426499999999997,35.20191923771769,1.0,1.0,1.0,7,8,9,24,False
0.9,0.09999999999999998,0.9,7.584369205807428,2.5281230686024756,4,0.195570073525,0.5750596495461853,0.5,0.5778075,14.430335,18.849698298850832,14.430335,37.350412192007724,1.0,1.0,1.0,8,9,10,27,False
