subset_name,excluded_cycle,allocation_id,national_error_sd,district_error_sd,marginal_total_error_sd,is_current_production,is_empirical_residual_allocation,cycles_used,mean_crps,mean_realized_seat_log_loss,mean_absolute_expected_seat_error,mean_absolute_median_seat_error,rmse_expected_seat_error,mean_simulation_dem_seat_sd,coverage_50,coverage_80,coverage_95,crps_rank,seat_log_loss_rank,median_error_rank,composite_rank_score,subset_rank,recommended
all_cycles,,national_3.5000_district_7.1878,3.5,7.187771733993784,7.994627101997941,False,False,4,9.837349209375,4.210115358580872,14.305887499999997,13.75,18.650862327600972,17.593037310767247,0.5,0.75,1.0,1,1,3,5,1,True
all_cycles,,national_4.5000_district_6.6079,4.5,6.607878820014786,7.994627101997941,False,False,4,9.932678196874999,4.2685011574579015,14.409837500000002,13.5,18.832226910554812,22.417936837933162,0.75,1.0,1.0,2,5,2,9,2,False
all_cycles,,national_4.0000_district_6.9220,4.0,6.921998446980467,7.994627101997941,False,False,4,9.9682787325,4.241412418821092,14.567124999999997,13.75,18.897325613000113,19.95731851771935,0.5,0.75,1.0,3,3,3,9,3,False
all_cycles,,national_5.0000_district_6.2381,5.0,6.238113697264582,7.994627101997941,False,False,4,9.995531273125001,4.262126690382537,14.385312499999998,13.375,18.814290626891175,24.627578494638882,0.75,1.0,1.0,4,4,1,9,4,False
all_cycles,,national_5.0625_district_6.1875,5.0625,6.1875,7.994627101997941,True,False,4,10.06269097875,4.271633887176399,14.458724999999994,13.75,18.87135924744823,24.991182934867087,0.75,1.0,1.0,5,6,3,14,5,False
all_cycles,,national_3.0000_district_7.4104,3.0,7.410402317013564,7.994627101997941,False,False,4,10.08379526375,4.232283701006681,14.435200000000002,14.0,18.81102716171422,15.2693564793127,0.5,0.75,1.0,6,2,6,14,6,False
all_cycles,,national_2.5000_district_7.5937,2.5,7.593685699316242,7.994627101997942,False,False,4,10.337134192499999,4.278884213965155,14.462499999999999,14.0,18.88555935572865,12.964009615809463,0.5,0.75,0.75,7,7,6,20,7,False
all_cycles,,national_2.0000_district_7.7404,2.0,7.740417462902114,7.994627101997941,False,False,4,10.551426014999999,4.445994340157215,14.33019999999999,14.25,18.674207968445398,10.71284137638855,0.5,0.5,0.75,8,8,8,24,8,False
all_cycles,,national_1.9000_district_7.7656,1.9,7.765569039033778,7.994627101997941,False,True,4,10.671879435625,4.533052180040768,14.411437499999998,14.25,18.746478848689822,10.312822365214387,0.5,0.5,0.75,9,9,8,26,9,False
all_cycles,,national_1.5000_district_7.8526,1.5,7.852646846764472,7.994627101997941,False,False,4,10.995837173750001,4.932451486114312,14.409774999999996,14.25,18.750078825334302,8.683560361896264,0.5,0.5,0.75,10,10,8,28,10,False
all_cycles,,national_1.0000_district_7.9318,1.0,7.93183853214373,7.994627101997941,False,False,4,11.532750095625,5.286105664189435,14.450837499999999,14.25,18.840448883005017,6.737840987848511,0.25,0.5,0.5,11,11,8,30,11,False
all_cycles,,national_0.5000_district_7.9790,0.5,7.978976281453655,7.994627101997941,False,False,4,11.917709944375002,5.605691454486603,14.376962499999998,14.25,18.775656565167704,5.268313825299557,0.25,0.5,0.5,12,12,8,32,12,False
all_cycles,,national_0.0000_district_7.9946,0.0,7.994627101997941,7.994627101997941,False,False,4,12.137986567499999,5.735012201945308,14.405375,14.25,18.770568100186797,4.686945019954194,0.25,0.5,0.5,13,13,8,34,13,False
exclude_2016,2016,national_2.0000_district_7.7404,2.0,7.740417462902114,7.994627101997941,False,False,3,5.074928565833333,3.583098596024778,7.783283333333325,7.666666666666667,8.96063109928647,10.154096819029332,0.6666666666666666,0.6666666666666666,1.0,1,1,8,10,1,True
