held_out_cycle,selection_metric,uncertainty_scale,brier_score,log_loss,expected_dem_seats,actual_dem_seats,expected_seat_error,absolute_expected_seat_error
2016,brier_score,4.400000000000003,0.054686387297406804,0.1973329558578874,709.359209900702,675,34.35920990070201,34.35920990070201
2016,brier_score,4.450000000000003,0.05503053730911692,0.19870456336245787,709.5552020202226,675,34.55520202022262,34.55520202022262
2016,brier_score,4.5000000000000036,0.05537594859857282,0.20007913729354326,709.7483869767,675,34.748386976699976,34.748386976699976
2016,log_loss,0.8,0.0410918614294969,0.31203476894147625,689.1162360791657,675,14.116236079165674,14.116236079165674
2016,log_loss,0.8500000000000001,0.04090460768406267,0.2920450628024184,689.4761347410044,675,14.476134741004444,14.476134741004444
2016,log_loss,0.9000000000000001,0.04074109448095382,0.2736760783336522,689.829562298138,675,14.829562298137944,14.829562298137944
2016,log_loss,0.9500000000000002,0.04059969421819461,0.2558698753748139,690.17732882768,675,15.177328827679958,15.177328827679958
2016,log_loss,1.0000000000000002,0.040479026304514436,0.24082237055891828,690.5202602716671,675,15.520260271667098,15.520260271667098
2016,log_loss,1.0500000000000003,0.04037790838731115,0.22801768099866904,690.8591336701082,675,15.859133670108235,15.859133670108235
2016,log_loss,1.1000000000000003,0.04029532152062328,0.21706691593253935,691.1946400153984,675,16.194640015398363,16.194640015398363
2016,log_loss,1.1500000000000004,0.04023038264090533,0.20766213961704397,691.5273662696179,675,16.527366269617914,16.527366269617914
2016,log_loss,1.2000000000000004,0.04018232103707852,0.199557363279377,691.8577905218247,675,16.857790521824654,16.857790521824654
2016,log_loss,1.2500000000000004,0.040150457454559724,0.1925540765489298,692.1862860527353,675,17.18628605273534,17.18628605273534
2016,log_loss,1.3000000000000005,0.04013418546074204,0.18649059152354705,692.5131311947068,675,17.51313119470683,17.51313119470683
2016,log_loss,1.3500000000000005,0.04013295509170889,0.1812340867268484,692.8385225586594,675,17.838522558659406,17.838522558659406
2016,log_loss,1.4000000000000006,0.04014625887423063,0.17667459706626473,693.1625896853818,675,18.162589685381818,18.162589685381818
2016,log_loss,1.4500000000000006,0.04017362025282676,0.17272042250210526,693.4854096103661,675,18.485409610366105,18.485409610366105
2016,log_loss,1.5000000000000007,0.040214584349592804,0.16929458361892935,693.8070202561644,675,18.80702025616438,18.80702025616438
2016,log_loss,1.5500000000000007,0.0402687108921251,0.16633205861151165,694.1274319730333,675,19.127431973033254,19.127431973033254
2016,log_loss,1.6000000000000008,0.040335569079036966,0.1637776098314312,694.446636907065,675,19.446636907065,19.446636907065
2016,log_loss,1.6500000000000008,0.04041473411495473,0.16158405964314648,694.7646161603367,675,19.764616160336686,19.764616160336686
2016,log_loss,1.7000000000000008,0.04050578513328484,0.15971091196759446,695.0813449096611,675,20.081344909661084,20.081344909661084
2016,log_loss,1.7500000000000009,0.0406083042297745,0.15812324215653467,695.3967957730309,675,20.39679577303093,20.39679577303093
2016,log_loss,1.800000000000001,0.04072187634761025,0.15679079688457012,695.7109407685855,675,20.710940768585488,20.710940768585488
2016,log_loss,1.850000000000001,0.0408460897810124,0.15568725969142064,696.0237522164939,675,21.023752216493904,21.023752216493904
2016,log_loss,1.900000000000001,0.0409805370953408,0.1547896481217965,696.3352029061243,675,21.335202906124323,21.335202906124323
2016,log_loss,1.950000000000001,0.041124816294733246,0.15407781611250204,696.6452658035859,675,21.645265803585858,21.645265803585858
2016,log_loss,2.000000000000001,0.041278532101018825,0.15353404108051896,696.9539135193588,675,21.95391351935882,21.95391351935882
2016,log_loss,2.050000000000001,0.04144129723844353,0.15314267957788302,697.2611177002034,675,22.261117700203386,22.261117700203386
2016,log_loss,2.1000000000000014,0.04161273364650446,0.15288987876067783,697.5668484589394,675,22.566848458939376,22.566848458939376
2016,log_loss,2.1500000000000012,0.0417924735672683,0.15276333353091814,697.8710739127879,675,22.871073912787892,22.871073912787892
2016,log_loss,2.200000000000001,0.041980160473685045,0.15275208124111211,698.173759866831,675,23.173759866831006,23.173759866831006
2016,log_loss,2.2500000000000013,0.04217544982163995,0.15284632744106205,698.4748696536367,675,23.474869653636688,23.474869653636688
2016,log_loss,2.3000000000000016,0.042378009621065665,0.15303729739814634,698.774364122369,675,23.77436412236898,23.77436412236898
2016,log_loss,2.3500000000000014,0.04258752083075324,0.153317109113121,699.0722017595035,675,24.072201759503514,24.072201759503514
2016,log_loss,2.4000000000000012,0.04280367758801636,0.15367866434162575,699.3683389172238,675,24.36833891722381,24.36833891722381
2016,log_loss,2.4500000000000015,0.04302618728856057,0.15411555476142175,699.6627301233744,675,24.662730123374445,24.662730123374445
2016,log_loss,2.5000000000000018,0.043254770534257594,0.15462198093093074,699.9553284473201,675,24.955328447320085,24.955328447320085
2016,log_loss,2.5500000000000016,0.043489160967448225,0.15519268209215428,700.2460858982258,675,25.24608589822583,25.24608589822583
2016,log_loss,2.6000000000000014,0.04372910501027453,0.1558228752009243,700.5349538354105,675,25.534953835410533,25.534953835410533
2016,log_loss,2.6500000000000017,0.043974361526684345,0.15650820183559888,700.8218833739517,675,25.821883373951664,25.821883373951664
2016,log_loss,2.700000000000002,0.04422470142341785,0.1572446818542556,701.1068257722729,675,26.10682577227294,26.10682577227294
2016,log_loss,2.7500000000000018,0.044479907204677066,0.1580286728499674,701.3897327917826,675,26.38973279178265,26.38973279178265
2016,log_loss,2.8000000000000016,0.04473977249344831,0.158856834601618,701.670557021604,675,26.670557021604054,26.670557021604054
2016,log_loss,2.850000000000002,0.04500410153070539,0.15972609784005642,701.9492521640057,675,26.949252164005657,26.949252164005657
2016,log_loss,2.900000000000002,0.04527270866204514,0.16063363675106004,702.2257732782671,675,27.22577327826707,27.22577327826707
2016,log_loss,2.950000000000002,0.04554541781974652,0.1615768447214377,702.5000769824438,675,27.50007698244383,27.50007698244383
2016,log_loss,3.0000000000000018,0.045822062006827154,0.16255331290573916,702.7721216138502,675,27.77212161385023,27.77212161385023
2016,log_loss,3.050000000000002,0.04610248278841154,0.16356081125090907,703.0418673501079,675,28.04186735010785,28.04186735010785
2016,log_loss,3.1000000000000023,0.04638652979462363,0.1645972716668129,703.3092762933622,675,28.309276293362245,28.309276293362245
2016,log_loss,3.150000000000002,0.04667406023826721,0.16566077307345933,703.5743125207879,675,28.574312520787885,28.574312520787885
2016,log_loss,3.200000000000002,0.046964938449750256,0.16674952809224516,703.8369421048308,675,28.83694210483077,28.83694210483077
2016,log_loss,3.250000000000002,0.04725903543103037,0.1678618711796997,704.0971331068063,675,29.097133106806268,29.097133106806268
2016,log_loss,3.3000000000000025,0.04755622842979321,0.16899624802886737,704.354855547518,675,29.354855547518014,29.354855547518014
