forecast_cycle,district_id,race_id,state,district,dem_candidate,gop_candidate,incumbent_party,dem_registry_status,gop_registry_status,dem_war_matched,gop_war_matched,dem_war_name,gop_war_name,dem_name_match_score,gop_name_match_score,dem_war_cycles,gop_war_cycles,dem_war_observations,gop_war_observations,dem_candidate_war,gop_candidate_war,dem_observation_reliability_multiplier,gop_observation_reliability_multiplier,dem_war_after_observation_shrinkage,gop_war_after_observation_shrinkage,dem_incumbent_multiplier,gop_incumbent_multiplier,dem_effective_war,gop_effective_war,candidate_war_net_dem,house_candidate_war_shrinkage,house_candidate_war_cap,house_candidate_war_incumbent_discount,house_candidate_war_one_sided_multiplier,house_candidate_war_observation_prior_strength,candidate_war_adjustment_dem_before_match_quality,candidate_war_match_quality_multiplier,candidate_war_adjustment_dem,war_match_status,maximum_war_cycle_used,future_war_used,target_actual_dem_margin,target_include_in_major_party_margin_scoring
2016,AK-AL,AK-AL,AK,AL,STEVE LINDBECK,DON YOUNG,R,NAN,I,False,True,,Don Young,0.0,1.0,,2014,0,1,0.0,-10.8,1.0,1.0,0.0,-10.8,1.0,0.5,0.0,-5.4,5.4,0.45,3.0,0.5,0.5,0.0,2.43,0.5,1.215,Only R matched,2014.0,False,-14.298924717227235,True
2016,AL-1,AL-1,AL,1,,BRADLEY BYRNE,R,,I,False,True,,Bradley Byrne,0.0,1.0,,2014,0,1,0.0,-0.55,1.0,1.0,0.0,-0.55,1.0,0.5,0.0,-0.275,0.275,0.45,3.0,0.5,0.5,0.0,0.12375000000000001,0.5,0.061875000000000006,Only R matched,2014.0,False,-96.38246724071648,False
2016,AL-2,AL-2,AL,2,NATHAN MATHIS,MARTHA ROBY,R,C,I,False,True,,Martha Roby,0.0,1.0,,2014,0,1,0.0,-3.55,1.0,1.0,0.0,-3.55,1.0,0.5,0.0,-1.775,1.775,0.45,3.0,0.5,0.5,0.0,0.79875,0.5,0.399375,Only R matched,2014.0,False,-8.242342290226476,True
2016,AL-3,AL-3,AL,3,JESSE SMITH,MIKE ROGERS,R,C,I,True,True,Jesse Smith,Mike Rogers,1.0,1.0,2014,2014,1,1,3.85,-3.85,1.0,1.0,3.85,-3.85,1.0,0.5,3.85,-1.925,5.775,0.45,3.0,0.5,0.5,0.0,2.5987500000000003,1.0,2.5987500000000003,Both matched,2014.0,False,-33.99987460989746,True
2016,AL-4,AL-4,AL,4,,ROBERT B ADERHOLT,R,,I,False,False,,,0.0,0.0,,,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.45,3.0,0.5,0.5,0.0,0.0,0.0,0.0,Neither matched,,False,-98.53034529994488,False
2016,AL-5,AL-5,AL,5,WILL BOYD JR,MO BROOKS,R,C,I,False,False,,,0.0,0.0,,,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.45,3.0,0.5,0.5,0.0,0.0,0.0,0.0,Neither matched,,False,-33.54014906300474,True
2016,AL-6,AL-6,AL,6,DAVID J PUTNAM,GARY J PALMER,R,NAN,I,False,True,,Gary Palmer,0.0,0.97,,2014,0,1,0.0,-4.2,1.0,1.0,0.0,-4.2,1.0,0.5,0.0,-2.1,2.1,0.45,3.0,0.5,0.5,0.0,0.9450000000000001,0.5,0.47250000000000003,Only R matched,2014.0,False,-49.07411343856474,True
2016,AL-7,AL-7,AL,7,TERRI A SEWELL,,D,I,,False,False,,,0.0,0.0,,,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.45,3.0,0.5,0.5,0.0,0.0,0.0,0.0,Neither matched,,False,98.41306624096676,False
2016,AR-1,AR-1,AR,1,,"ERIC A \""RICK\"" CRAWFORD",R,,I,False,True,,Rick Crawford,0.0,0.88,,2014,0,1,0.0,1.9,1.0,1.0,0.0,1.9,1.0,0.5,0.0,0.95,-0.95,0.45,3.0,0.5,0.5,0.0,-0.4275,0.5,-0.21375,Only R matched,2014.0,False,-76.27807025185959,False
2016,AR-2,AR-2,AR,2,DIANNE CURRY,J FRENCH HILL,R,C,I,False,True,,French Hill,0.0,0.88,,2014,0,1,0.0,-0.95,1.0,1.0,0.0,-0.95,1.0,0.5,0.0,-0.475,0.475,0.45,3.0,0.5,0.5,0.0,0.21375,0.5,0.106875,Only R matched,2014.0,False,-21.531488044858232,True
