race_id,party_code,mit_candidate_name,fec_candidate_name,fec_candidate_id,incumbent_challenger_status,match_method,match_score,second_best_score,candidate_count_considered,match_reason
AL-2,D,PHYLLIS HARVEY-HALL,"HARVEY-HALL, PHYLLIS",H0AL02202,C,high_confidence_automatic,100.0,2.0,4,last_exact+first_match+token_overlap+scope_same_race
AL-7,D,TERRI A SEWELL,"SEWELL, TERRI A.",H0AL07086,I,high_confidence_automatic,100.0,,1,last_exact+first_match+token_overlap+scope_same_race
AZ-2,R,ELI CRANE,"CRANE, ELI",H2AZ01354,C,high_confidence_automatic,100.0,2.0,10,last_exact+first_match+token_overlap+scope_same_race
AZ-3,D,RUBEN GALLEGO,"GALLEGO, RUBEN",H4AZ07043,I,high_confidence_automatic,100.0,,1,last_exact+first_match+token_overlap+scope_same_race
AZ-4,R,KELLY COOPER,"COOPER, KELLY",H2AZ09191,C,high_confidence_automatic,100.0,2.0,5,last_exact+first_match+token_overlap+scope_same_race
AZ-4,D,GREG STANTON,"STANTON, GREG",H8AZ09040,I,high_confidence_automatic,100.0,2.0,3,last_exact+first_match+token_overlap+scope_same_race
AZ-5,R,ANDY BIGGS,"BIGGS, ANDY MR.",H6AZ05083,I,high_confidence_automatic,100.0,,1,last_exact+first_match+token_overlap+scope_same_race
AZ-6,R,JUAN CISCOMANI,"CISCOMANI, JUAN",H2AZ02360,O,high_confidence_automatic,100.0,2.0,7,last_exact+first_match+token_overlap+scope_same_race
AZ-6,D,KIRSTEN ENGEL,"ENGEL, KIRSTEN",H2AZ02311,C,high_confidence_automatic,100.0,2.0,7,last_exact+first_match+token_overlap+scope_same_race
AZ-8,R,DEBBIE LESKO,"LESKO, DEBBIE",H8AZ08158,I,high_confidence_automatic,100.0,0.0,2,last_exact+first_match+token_overlap+scope_same_race
AZ-9,R,PAUL GOSAR,"GOSAR, PAUL DR.",H0AZ01259,I,high_confidence_automatic,100.0,2.0,10,last_exact+first_match+token_overlap+scope_same_race
AR-1,D,MONTE HODGES,"HODGES, MONTE",H2AR01113,C,high_confidence_automatic,100.0,,1,last_exact+first_match+token_overlap+scope_same_race
AR-2,D,QUINTESSA HATHAWAY,"HATHAWAY, QUINTESSA DR.",H2AR02095,C,high_confidence_automatic,100.0,2.0,2,last_exact+first_match+token_overlap+scope_same_race
AR-3,R,STEVE WOMACK,"WOMACK, STEVE",H0AR03055,I,high_confidence_automatic,100.0,2.0,2,last_exact+first_match+token_overlap+scope_same_race
AR-4,R,BRUCE WESTERMAN,"WESTERMAN, BRUCE",H4AR04048,I,high_confidence_automatic,100.0,,1,last_exact+first_match+token_overlap+scope_same_race
AR-4,D,JOHN WHITE,"WHITE, JOHN",H2AR04158,C,high_confidence_automatic,100.0,,1,last_exact+first_match+token_overlap+scope_same_race
CA-1,R,DOUG LAMALFA,"LAMALFA, DOUG",H2CA02142,I,high_confidence_automatic,100.0,0.0,5,last_exact+first_match+token_overlap+scope_same_race
CA-1,D,MAX STEINER,"STEINER, MAX",H2CA01227,C,high_confidence_automatic,100.0,2.0,3,last_exact+first_match+token_overlap+scope_same_race
CA-2,R,DOUGLAS BROWER,"BROWER, DOUGLAS REV",H2CA02209,C,high_confidence_automatic,100.0,2.0,5,last_exact+first_match+token_overlap+scope_same_race
CA-2,D,JARED HUFFMAN,"HUFFMAN, JARED",H2CA06259,I,high_confidence_automatic,100.0,2.0,2,last_exact+first_match+token_overlap+scope_same_race
CA-3,R,KEVIN KILEY,"KILEY, KEVIN",H2CA03157,C,high_confidence_automatic,100.0,2.0,3,last_exact+first_match+token_overlap+scope_same_race
CA-3,D,KERMIT JONES,"JONES, KERMIT",H2CA04122,C,high_confidence_automatic,100.0,0.0,3,last_exact+first_match+token_overlap+scope_same_race
CA-4,D,MIKE THOMPSON,"THOMPSON, MIKE MR.",H8CA01109,I,high_confidence_automatic,100.0,2.0,3,last_exact+first_match+token_overlap+scope_same_race
CA-6,R,TAMIKA HAMILTON,"HAMILTON, TAMIKA",H0CA03128,C,high_confidence_automatic,100.0,2.0,3,last_exact+first_match+token_overlap+scope_same_race
CA-7,R,MAX SEMENENKO,"SEMENENKO, MAX",H2CA07141,C,high_confidence_automatic,100.0,2.0,2,last_exact+first_match+token_overlap+scope_same_race
CA-8,R,RUDY RECILE,"RECILE, RUDY",H2CA00153,C,high_confidence_automatic,100.0,,1,last_exact+first_match+token_overlap+scope_same_race
CA-8,D,JOHN GARAMENDI,"GARAMENDI, JOHN",H0CA10149,I,high_confidence_automatic,100.0,2.0,6,last_exact+first_match+token_overlap+scope_same_race
CA-9,D,JOSH HARDER,"HARDER, JOSH",H8CA10126,O,high_confidence_automatic,100.0,2.0,5,last_exact+first_match+token_overlap+scope_same_race
CA-10,D,MARK DESAULNIER,"DESAULNIER, MARK",H0CA10073,I,high_confidence_automatic,100.0,0.0,2,last_exact+first_match+token_overlap+scope_same_race
CA-11,R,JOHN DENNIS,"DENNIS, JOHN MR.",H2CA12174,C,high_confidence_automatic,100.0,,1,last_exact+first_match+token_overlap+scope_same_race
CA-11,D,NANCY PELOSI,"PELOSI, NANCY",H8CA05035,I,high_confidence_automatic,100.0,2.0,4,last_exact+first_match+token_overlap+scope_same_race
CA-12,D,BARBARA LEE,"LEE, BARBARA",H8CA09060,I,high_confidence_automatic,100.0,2.0,3,last_exact+first_match+token_overlap+scope_same_race
CA-14,R,ALISON HAYDEN,"HAYDEN, ALISON",H0CA15247,C,high_confidence_automatic,100.0,2.0,4,last_exact+first_match+token_overlap+scope_same_race
CA-15,D,KEVIN MULLIN,"MULLIN, KEVIN",H2CA14162,O,high_confidence_automatic,100.0,2.0,3,last_exact+first_match+token_overlap+scope_same_race
CA-16,D,ANNA G ESHOO,"ESHOO, ANNA G.",H8CA12098,I,high_confidence_automatic,100.0,2.0,4,last_exact+first_match+token_overlap+scope_same_race
CA-16,D,RISHI KUMAR,"KUMAR, RISHI",H0CA18068,C,high_confidence_automatic,100.0,2.0,4,last_exact+first_match+token_overlap+scope_same_race
CA-17,R,RITESH TANDON,"TANDON, RITESH",H0CA17193,C,high_confidence_automatic,100.0,,1,last_exact+first_match+token_overlap+scope_same_race
CA-18,R,PETER HERNANDEZ,"HERNANDEZ, PETER",H2CA18163,C,high_confidence_automatic,100.0,,1,last_exact+first_match+token_overlap+scope_same_race
CA-18,D,ZOE LOFGREN,"LOFGREN, ZOE",H4CA16049,I,high_confidence_automatic,100.0,2.0,2,last_exact+first_match+token_overlap+scope_same_race
CA-19,R,JEFF GORMAN,"GORMAN, JEFF",H0CA20122,C,high_confidence_automatic,100.0,2.0,2,last_exact+first_match+token_overlap+scope_same_race
CA-19,D,JIMMY PANETTA,"PANETTA, JIMMY",H6CA20152,I,high_confidence_automatic,100.0,0.0,2,last_exact+first_match+token_overlap+scope_same_race
CA-20,R,KEVIN MCCARTHY,"MCCARTHY, KEVIN",H6CA22125,I,high_confidence_automatic,100.0,0.0,3,last_exact+first_match+token_overlap+scope_same_race
CA-20,D,MARISA WOOD,"WOOD, MARISA",H2CA23155,C,high_confidence_automatic,100.0,0.0,2,last_exact+first_match+token_overlap+scope_same_race
CA-21,D,JIM COSTA,"COSTA, JIM",H4CA20082,I,high_confidence_automatic,100.0,2.0,4,last_exact+first_match+token_overlap+scope_same_race
CA-22,D,RUDY SALAS,"SALAS, RUDY",H2CA21233,C,high_confidence_automatic,100.0,2.0,5,last_exact+first_match+token_overlap+scope_same_race
CA-23,R,JAY OBERNOLTE,"OBERNOLTE, JAY",H0CA08135,I,high_confidence_automatic,100.0,,1,last_exact+first_match+token_overlap+scope_same_race
CA-23,D,DEREK MARSHALL,"MARSHALL, DEREK",H2CA08214,C,high_confidence_automatic,100.0,2.0,3,last_exact+first_match+token_overlap+scope_same_race
CA-24,D,SALUD O CARBAJAL,"CARBAJAL, SALUD O.",H6CA24303,I,high_confidence_automatic,100.0,,1,last_exact+first_match+token_overlap+scope_same_race
CA-25,D,RAUL RUIZ,"RUIZ, RAUL DR.",H2CA36439,I,high_confidence_automatic,100.0,2.0,6,last_exact+first_match+token_overlap+scope_same_race
CA-26,D,JULIA BROWNLEY,"BROWNLEY, JULIA",H2CA00120,I,high_confidence_automatic,100.0,,1,last_exact+first_match+token_overlap+scope_same_race
CA-27,D,CHRISTY SMITH,"SMITH, CHRISTY",H0CA25154,C,high_confidence_automatic,100.0,2.0,2,last_exact+first_match+token_overlap+scope_same_race
CA-28,D,JUDY CHU,"CHU, JUDY",H0CA32101,I,high_confidence_automatic,100.0,0.0,4,last_exact+first_match+token_overlap+scope_same_race
CA-29,D,TONY CÃRDENAS,"CARDENAS, TONY",H2CA28113,I,high_confidence_automatic,100.0,2.0,2,last_exact+first_match+token_overlap+scope_same_race
CA-32,R,LUCIE LAPOINTE VOLOTZKY,"VOLOTZKY, LUCIE LAPOINTE",H2CA30283,C,high_confidence_automatic,100.0,2.0,2,last_exact+first_match+token_overlap+scope_same_race
CA-32,D,BRAD SHERMAN,"SHERMAN, BRAD",H6CA24113,I,high_confidence_automatic,100.0,2.0,7,last_exact+first_match+token_overlap+scope_same_race
CA-33,R,JOHN MARK PORTER,"PORTER, JOHN MARK MR",H2CA33253,C,high_confidence_automatic,100.0,2.0,4,last_exact+first_match+token_overlap+scope_same_race
CA-33,D,PETE AGUILAR,"AGUILAR, PETE",H2CA31125,I,high_confidence_automatic,100.0,,1,last_exact+first_match+token_overlap+scope_same_race
CA-34,D,JIMMY GOMEZ,"GOMEZ, JIMMY",H8CA34266,I,high_confidence_automatic,100.0,2.0,2,last_exact+first_match+token_overlap+scope_same_race
CA-35,R,MIKE CARGILE,"CARGILE, MIKE",H0CA35146,C,high_confidence_automatic,100.0,2.0,3,last_exact+first_match+token_overlap+scope_same_race
CA-36,R,JOE E COLLINS III,"COLLINS, JOE E III",H0CA43108,C,high_confidence_automatic,100.0,2.0,6,last_exact+first_match+token_overlap+scope_same_race
CA-36,D,TED LIEU,"LIEU, TED",H4CA33119,I,high_confidence_automatic,100.0,0.0,4,last_exact+first_match+token_overlap+scope_same_race
CA-37,D,SYDNEY KAMLAGER,"KAMLAGER, SYDNEY",H2CA37304,O,high_confidence_automatic,100.0,2.0,6,last_exact+first_match+token_overlap+scope_same_race
CA-38,R,ERIC J CHING,"CHING, ERIC J",H2CA39151,C,high_confidence_automatic,100.0,0.0,3,last_exact+first_match+token_overlap+scope_same_race
CA-39,D,MARK TAKANO,"TAKANO, MARK",H2CA43245,I,high_confidence_automatic,100.0,0.0,2,last_exact+first_match+token_overlap+scope_same_race
CA-40,R,YOUNG KIM,"KIM, YOUNG",H8CA39240,I,high_confidence_automatic,100.0,2.0,3,last_exact+first_match+token_overlap+scope_same_race
CA-40,D,ASIF MAHMOOD,"MAHMOOD, ASIF DR.",H2CA40092,C,high_confidence_automatic,100.0,2.0,3,last_exact+first_match+token_overlap+scope_same_race
CA-41,R,KEN CALVERT,"CALVERT, KEN",H2CA37023,I,high_confidence_automatic,100.0,2.0,4,last_exact+first_match+token_overlap+scope_same_race
CA-41,D,WILL ROLLINS,"ROLLINS, WILL",H2CA42205,C,high_confidence_automatic,100.0,2.0,3,last_exact+first_match+token_overlap+scope_same_race
CA-42,R,JOHN BRISCOE,"BRISCOE, JOHN",H8CA47078,C,high_confidence_automatic,100.0,,1,last_exact+first_match+token_overlap+scope_same_race
CA-42,D,ROBERT GARCIA,"GARCIA, ROBERT",H2CA47188,C,high_confidence_automatic,100.0,52.0,9,last_exact+first_match+token_overlap+scope_same_race
CA-43,R,OMAR NAVARRO,"NAVARRO, OMAR",H6CA44145,C,high_confidence_automatic,100.0,0.0,2,last_exact+first_match+token_overlap+scope_same_race
CA-43,D,MAXINE WATERS,"WATERS, MAXINE",H4CA23011,I,high_confidence_automatic,100.0,0.0,2,last_exact+first_match+token_overlap+scope_same_race
CA-45,R,MICHELLE STEEL,"STEEL, MICHELLE",H0CA48198,I,high_confidence_automatic,100.0,2.0,7,last_exact+first_match+token_overlap+scope_same_race
CA-48,R,DARRELL ISSA,"ISSA, DARRELL",H0CA48024,I,high_confidence_automatic,100.0,,1,last_exact+first_match+token_overlap+scope_same_race
CA-49,D,MIKE LEVIN,"LEVIN, MIKE",H8CA49058,I,high_confidence_automatic,100.0,0.0,2,last_exact+first_match+token_overlap+scope_same_race
CA-50,R,COREY GUSTAFSON,"GUSTAFSON, COREY",H2CA50232,C,high_confidence_automatic,100.0,2.0,3,last_exact+first_match+token_overlap+scope_same_race
CA-51,R,STAN CAPLAN,"CAPLAN, STAN",H2CA51206,C,high_confidence_automatic,100.0,,1,last_exact+first_match+token_overlap+scope_same_race
CA-51,D,SARA JACOBS,"JACOBS, SARA",H8CA49074,C,high_confidence_automatic,100.0,0.0,3,last_exact+first_match+token_overlap+scope_same_race
CA-52,R,TYLER GEFFENEY,"GEFFENEY, TYLER",H2CA52188,C,high_confidence_automatic,100.0,2.0,5,last_exact+first_match+token_overlap+scope_same_race
CO-1,R,JENNIFER QUALTERI,"QUALTERI, JENNIFER",H2CO01215,C,high_confidence_automatic,100.0,,1,last_exact+first_match+token_overlap+scope_same_race
CO-2,R,MARSHALL DAWSON,"DAWSON, MARSHALL",H2CO02205,C,high_confidence_automatic,100.0,,1,last_exact+first_match+token_overlap+scope_same_race
CO-3,R,LAUREN BOEBERT,"BOEBERT, LAUREN",H0CO03165,I,high_confidence_automatic,100.0,2.0,3,last_exact+first_match+token_overlap+scope_same_race
CO-3,D,ADAM FRISCH,"FRISCH, ADAM",H2CO03351,C,high_confidence_automatic,100.0,2.0,14,last_exact+first_match+token_overlap+scope_same_race
CO-6,D,JASON CROW,"CROW, JASON",H8CO06229,I,high_confidence_automatic,100.0,,1,last_exact+first_match+token_overlap+scope_same_race
CO-7,R,ERIK AADLAND,"AADLAND, ERIK",H2CO07170,O,high_confidence_automatic,100.0,2.0,5,last_exact+first_match+token_overlap+scope_same_race
CO-8,R,BARBARA KIRKMEYER,"KIRKMEYER, BARBARA",H2CO08079,O,high_confidence_automatic,100.0,2.0,6,last_exact+first_match+token_overlap+scope_same_race
CO-8,D,YADIRA CARAVEO,"CARAVEO, YADIRA",H2CO08020,O,high_confidence_automatic,100.0,2.0,4,last_exact+first_match+token_overlap+scope_same_race
FL-1,R,MATT GAETZ,"GAETZ, MATT",H6FL01119,I,high_confidence_automatic,100.0,2.0,7,last_exact+first_match+token_overlap+scope_same_race
FL-1,D,REBEKAH JONES,"JONES, REBEKAH",H2FL01233,C,high_confidence_automatic,100.0,2.0,3,last_exact+first_match+token_overlap+scope_same_race
FL-3,R,KAT CAMMACK,"CAMMACK, KAT",H0FL03175,I,high_confidence_automatic,100.0,2.0,3,last_exact+first_match+token_overlap+scope_same_race
FL-6,R,MICHAEL WALTZ,"WALTZ, MICHAEL",H8FL06148,I,high_confidence_automatic,100.0,0.0,2,last_exact+first_match+token_overlap+scope_same_race
FL-7,R,CORY MILLS,"MILLS, CORY",H2FL07156,O,high_confidence_automatic,100.0,2.0,12,last_exact+first_match+token_overlap+scope_same_race
FL-7,D,KAREN GREEN,"GREEN, KAREN REV. DR.",H2FL08139,O,high_confidence_automatic,100.0,2.0,5,last_exact+first_match+token_overlap+scope_same_race
FL-8,R,BILL POSEY,"POSEY, BILL",H8FL15107,I,high_confidence_automatic,100.0,0.0,3,last_exact+first_match+token_overlap+scope_same_race
FL-9,R,SCOTTY MOORE,"MOORE, SCOTTY",H2FL09228,C,high_confidence_automatic,100.0,2.0,9,last_exact+first_match+token_overlap+scope_same_race
FL-9,D,DARREN SOTO,"SOTO, DARREN",H6FL09179,I,high_confidence_automatic,100.0,2.0,2,last_exact+first_match+token_overlap+scope_same_race
FL-10,R,CALVIN B WIMBISH,"WIMBISH, CALVIN B MR",H2FL10283,O,high_confidence_automatic,100.0,2.0,10,last_exact+first_match+token_overlap+scope_same_race
FL-10,D,MAXWELL ALEJANDRO FROST,"FROST, MAXWELL ALEJANDRO",H2FL10259,O,high_confidence_automatic,100.0,2.0,13,last_exact+first_match+token_overlap+scope_same_race
FL-11,R,DANIEL WEBSTER,"WEBSTER, DANIEL",H0FL08208,I,high_confidence_automatic,100.0,2.0,7,last_exact+first_match+token_overlap+scope_same_race
FL-11,D,SHANTE MUNNS,"MUNNS, SHANTE",H2FL11174,C,high_confidence_automatic,100.0,,1,last_exact+first_match+token_overlap+scope_same_race
FL-12,R,GUS M BILIRAKIS,"BILIRAKIS, GUS M",H6FL09070,I,high_confidence_automatic,100.0,2.0,6,last_exact+first_match+token_overlap+scope_same_race
FL-13,R,ANNA PAULINA LUNA,"PAULINA LUNA, ANNA",H0FL13158,O,high_confidence_automatic,100.0,2.0,8,last_exact+first_match+token_overlap+scope_same_race
FL-13,D,ERIC LYNN,"LYNN, ERIC",H6FL13189,O,high_confidence_automatic,100.0,2.0,5,last_exact+first_match+token_overlap+scope_same_race
FL-14,R,JAMES JUDGE,"JUDGE, JAMES",H2FL14277,C,high_confidence_automatic,100.0,2.0,6,last_exact+first_match+token_overlap+scope_same_race
FL-14,D,KATHY CASTOR,"CASTOR, KATHY",H6FL11126,I,high_confidence_automatic,100.0,2.0,4,last_exact+first_match+token_overlap+scope_same_race
FL-15,R,LAUREL LEE,"LEE, LAUREL MRS.",H2FL15241,C,high_confidence_automatic,100.0,2.0,7,last_exact+first_match+token_overlap+scope_same_race
FL-16,D,JAN SCHNEIDER,"SCHNEIDER, JAN",H2FL13139,C,high_confidence_automatic,100.0,0.0,2,last_exact+first_match+token_overlap+scope_same_race
FL-17,D,ANDREA DORIA KALE,"KALE, ANDREA DORIA",H2FL17106,C,high_confidence_automatic,100.0,0.0,2,last_exact+first_match+token_overlap+scope_same_race
FL-19,R,BYRON DONALDS,"DONALDS, BYRON",H2FL14186,C,high_confidence_automatic,100.0,2.0,2,last_exact+first_match+token_overlap+scope_same_race
FL-20,R,DREW MONTEZ CLARK,"CLARK, DREW-MONTEZ DR.",H2FL25083,C,high_confidence_automatic,100.0,2.0,4,last_exact+first_match+token_overlap+scope_same_race
FL-20,D,SHEILA CHERFILUS-MCCORMICK,"CHERFILUS-MCCORMICK, SHEILA",H8FL20032,I,high_confidence_automatic,100.0,2.0,14,last_exact+first_match+token_overlap+scope_same_race
FL-21,D,CORINNA BALDERRAMOS ROBINSON,"BALDERRAMOS ROBINSON, CORINNA",H2FL18096,C,high_confidence_automatic,100.0,,1,last_exact+first_match+token_overlap+scope_same_race
FL-23,R,JOE BUDD,"BUDD, JOE",H2FL23138,C,high_confidence_automatic,100.0,2.0,9,last_exact+first_match+token_overlap+scope_same_race
FL-23,D,JARED MOSKOWITZ,"MOSKOWITZ, JARED",H2FL22171,C,high_confidence_automatic,100.0,2.0,6,last_exact+first_match+token_overlap+scope_same_race
FL-24,D,FREDERICA S WILSON,"WILSON, FREDERICA S.",H0FL17068,I,high_confidence_automatic,100.0,2.0,3,last_exact+first_match+token_overlap+scope_same_race
FL-25,D,DEBBIE WASSERMAN SCHULTZ,"WASSERMAN SCHULTZ, DEBBIE",H4FL20023,I,high_confidence_automatic,100.0,2.0,4,last_exact+first_match+token_overlap+scope_same_race
FL-26,R,MARIO DIAZ-BALART,"DIAZ-BALART, MARIO",H2FL25018,I,high_confidence_automatic,100.0,2.0,2,last_exact+first_match+token_overlap+scope_same_race
FL-26,D,CHRISTINE ALEXANDRIA OLIVO,"OLIVO, CHRISTINE ALEXANDRIA",H2FL24037,C,high_confidence_automatic,100.0,,1,last_exact+first_match+token_overlap+scope_same_race
FL-27,R,MARIA ELVIRA SALAZAR,"SALAZAR, MARIA ELVIRA",H8FL27185,I,high_confidence_automatic,100.0,2.0,2,last_exact+first_match+token_overlap+scope_same_race
FL-27,D,ANNETTE TADDEO,"TADDEO, ANNETTE",H8FL00034,C,high_confidence_automatic,100.0,2.0,5,last_exact+first_match+token_overlap+scope_same_race
FL-28,D,ROBERT ASENCIO,"ASENCIO, ROBERT",H2FL28038,O,high_confidence_automatic,100.0,0.0,2,last_exact+first_match+token_overlap+scope_same_race
GA-4,R,JONATHAN CHAVEZ,"CHAVEZ, JONATHAN",H2GA04201,C,high_confidence_automatic,100.0,0.0,2,last_exact+first_match+token_overlap+scope_same_race
GA-7,R,MARK GONSALVES,"GONSALVES, MARK",H0GA07232,C,high_confidence_automatic,100.0,2.0,7,last_exact+first_match+token_overlap+scope_same_race
GA-10,D,TABITHA JOHNSON-GREEN,"JOHNSON-GREEN, TABITHA",H8GA10197,C,high_confidence_automatic,100.0,2.0,4,last_exact+first_match+token_overlap+scope_same_race
GA-11,R,BARRY LOUDERMILK,"LOUDERMILK, BARRY",H4GA11061,I,high_confidence_automatic,100.0,,1,last_exact+first_match+token_overlap+scope_same_race
GA-13,R,CAESAR GONZALES,"GONZALES, CAESAR",H0GA13149,C,high_confidence_automatic,100.0,2.0,3,last_exact+first_match+token_overlap+scope_same_race
GA-14,R,MARJORIE TAYLOR GREENE,"GREENE, MARJORIE TAYLOR MRS.",H0GA06192,I,high_confidence_automatic,100.0,2.0,7,last_exact+first_match+token_overlap+scope_same_race
IL-2,R,THOMAS LYNCH,"LYNCH, THOMAS",H2IL02214,C,high_confidence_automatic,100.0,0.0,3,last_exact+first_match+token_overlap+scope_same_race
IL-3,R,JUSTIN BURAU,"BURAU, JUSTIN",H2IL06082,C,high_confidence_automatic,100.0,,1,last_exact+first_match+token_overlap+scope_same_race
IL-3,D,DELIA RAMIREZ,"RAMIREZ, DELIA",H2IL03162,C,high_confidence_automatic,100.0,2.0,4,last_exact+first_match+token_overlap+scope_same_race
IL-4,R,JAMES FALAKOS,"FALAKOS, JAMES",H2IL04160,C,high_confidence_automatic,100.0,,1,last_exact+first_match+token_overlap+scope_same_race
IL-5,D,MIKE QUIGLEY,"QUIGLEY, MIKE",H0IL05096,I,high_confidence_automatic,100.0,2.0,3,last_exact+first_match+token_overlap+scope_same_race
IL-6,R,KEITH PEKAU,"PEKAU, KEITH",H2IL06116,C,high_confidence_automatic,100.0,2.0,7,last_exact+first_match+token_overlap+scope_same_race
IL-6,D,SEAN CASTEN,"CASTEN, SEAN",H8IL06139,I,high_confidence_automatic,100.0,2.0,3,last_exact+first_match+token_overlap+scope_same_race
IL-7,D,DANNY K DAVIS,"DAVIS, DANNY K. MR.",H4IL07037,I,high_confidence_automatic,100.0,2.0,4,last_exact+first_match+token_overlap+scope_same_race
IL-9,D,JANICE D SCHAKOWSKY,"SCHAKOWSKY, JANICE D",H8IL09067,I,high_confidence_automatic,100.0,0.0,2,last_exact+first_match+token_overlap+scope_same_race
IL-10,R,JOSEPH SEVERINO,"SEVERINO, JOSEPH",H0IL10393,C,high_confidence_automatic,100.0,,1,last_exact+first_match+token_overlap+scope_same_race
IL-11,R,CATALINA LAUF,"LAUF, CATALINA",H2IL16107,O,high_confidence_automatic,100.0,2.0,15,last_exact+first_match+token_overlap+scope_same_race
IL-13,R,REGAN DEERING,"DEERING, REGAN",H2IL13179,C,high_confidence_automatic,100.0,2.0,4,last_exact+first_match+token_overlap+scope_same_race
IL-13,D,NIKKI BUDZINSKI,"BUDZINSKI, NIKKI",H2IL13153,C,high_confidence_automatic,100.0,2.0,4,last_exact+first_match+token_overlap+scope_same_race
IL-14,D,LAUREN UNDERWOOD,"UNDERWOOD, LAUREN",H8IL14174,I,high_confidence_automatic,100.0,,1,last_exact+first_match+token_overlap+scope_same_race
IL-17,R,ESTHER JOY KING,"KING, ESTHER JOY",H0IL17083,O,high_confidence_automatic,100.0,0.0,4,last_exact+first_match+token_overlap+scope_same_race
IL-17,D,ERIC SORENSEN,"SORENSEN, ERIC",H2IL17147,O,high_confidence_automatic,100.0,2.0,10,last_exact+first_match+token_overlap+scope_same_race
MD-2,R,NICOLEE AMBROSE,"AMBROSE, NICOLEE",H2MD02368,C,high_confidence_automatic,100.0,2.0,7,last_exact+first_match+token_overlap+scope_same_race
MD-2,D,C A DUTCH RUPPERSBERGER,"RUPPERSBERGER, C. A. DUTCH",H2MD02160,I,high_confidence_automatic,100.0,2.0,5,last_exact+first_match+token_overlap+scope_same_race
MD-3,R,YURIPZY MORGAN,"MORGAN, YURIPZY",H2MD02343,C,high_confidence_automatic,100.0,2.0,5,last_exact+first_match+token_overlap+scope_same_race
MD-3,D,JOHN P SARBANES,"SARBANES, JOHN P. MR.",H6MD03292,I,high_confidence_automatic,100.0,0.0,3,last_exact+first_match+token_overlap+scope_same_race
MD-4,R,JEFF WARNER,"WARNER, JEFF",H2MD04307,O,high_confidence_automatic,100.0,2.0,2,last_exact+first_match+token_overlap+scope_same_race
MD-7,R,SCOTT M COLLIER,"COLLIER, SCOTT M",H0MD02255,C,high_confidence_automatic,100.0,0.0,3,last_exact+first_match+token_overlap+scope_same_race
MD-7,D,KWEISI MFUME,"MFUME, KWEISI",H6MD07020,I,high_confidence_automatic,100.0,0.0,4,last_exact+first_match+token_overlap+scope_same_race
MD-8,R,GREGORY THOMAS COLL,"COLL, GREGORY THOMAS",H0MD08203,C,high_confidence_automatic,100.0,0.0,2,last_exact+first_match+token_overlap+scope_same_race
MD-8,D,JAMIE RASKIN,"RASKIN, JAMIE",H6MD08457,I,high_confidence_automatic,100.0,0.0,2,last_exact+first_match+token_overlap+scope_same_race
MA-1,D,RICHARD E NEAL,"NEAL, RICHARD E MR.",H8MA02041,I,high_confidence_automatic,100.0,,1,last_exact+first_match+token_overlap+scope_same_race
MA-2,D,JAMES P MCGOVERN,"MCGOVERN, JAMES P. MR.",H4MA03022,I,high_confidence_automatic,100.0,,1,last_exact+first_match+token_overlap+scope_same_race
MA-3,D,LORI TRAHAN,"TRAHAN, LORI",H8MA03106,I,high_confidence_automatic,100.0,0.0,2,last_exact+first_match+token_overlap+scope_same_race
MA-4,D,JAKE AUCHINCLOSS,"AUCHINCLOSS, JAKE",H0MA04192,I,high_confidence_automatic,100.0,,1,last_exact+first_match+token_overlap+scope_same_race
MA-5,R,CAROLINE COLARUSSO,"COLARUSSO, CAROLINE",H2MA05153,C,high_confidence_automatic,100.0,,1,last_exact+first_match+token_overlap+scope_same_race
MA-6,D,SETH MOULTON,"MOULTON, SETH",H4MA06090,I,high_confidence_automatic,100.0,,1,last_exact+first_match+token_overlap+scope_same_race
MA-7,R,"DONNIE DIONICIO PALMER, JR","PALMER, DONNIE DIONICIO",H2MA07100,C,high_confidence_automatic,100.0,0.0,2,last_exact+first_match+token_overlap+scope_same_race
MA-7,D,AYANNA PRESSLEY,"PRESSLEY, AYANNA",H8MA07032,I,high_confidence_automatic,100.0,,1,last_exact+first_match+token_overlap+scope_same_race
MA-8,R,ROBERT G BURKE,"BURKE, ROBERT G.",H2MA08090,C,high_confidence_automatic,100.0,2.0,2,last_exact+first_match+token_overlap+scope_same_race
MA-9,D,WILLIAM R KEATING,"KEATING, WILLIAM R",H0MA10082,I,high_confidence_automatic,100.0,0.0,2,last_exact+first_match+token_overlap+scope_same_race
MI-3,R,JOHN GIBBS,"GIBBS, JOHN",H2MI03197,C,high_confidence_automatic,100.0,2.0,5,last_exact+first_match+token_overlap+scope_same_race
MI-3,D,HILLARY SCHOLTEN,"SCHOLTEN, HILLARY",H0MI03316,C,high_confidence_automatic,100.0,0.0,2,last_exact+first_match+token_overlap+scope_same_race
MI-4,D,JOSEPH ALFONSO,"ALFONSO, JOSEPH",H2MI04260,C,high_confidence_automatic,100.0,2.0,3,last_exact+first_match+token_overlap+scope_same_race
MI-6,R,WHITTNEY WILLIAMS,"WILLIAMS, WHITTNEY",H2MI06158,O,high_confidence_automatic,100.0,2.0,6,last_exact+first_match+token_overlap+scope_same_race
MI-6,D,DEBBIE DINGELL,"DINGELL, DEBBIE",H4MI12079,I,high_confidence_automatic,100.0,,1,last_exact+first_match+token_overlap+scope_same_race
